动画,#genre#
[BD]brtv卡酷少儿,https://epg.pw/stream/87c7d64450a0d80c85933b6caaea95a315accc0d1c765938e6b24b61f71b20ca.ctv
[SD]cctv14,https://epg.pw/stream/c375661a94c310dd112505c98740c9917785676f84443adf5246edaa1d5de485.m3u8
[SD]嘉佳卡通,https://epg.pw/stream/082c9f76c50422f3754f81a9fd4573fe918b9829d5c46cf5ce89ad22ba51d657.ctv

央视,#genre#
中央1高清,http://111.225.114.93:808/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
中央2高清,http://111.225.114.93:808/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
中央3标清,http://111.225.114.93:808/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
中央4高清,http://111.225.114.93:808/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
中央5标清,http://111.225.114.93:808/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
中央6标清,http://111.225.114.93:808/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
中央7高清,http://111.225.114.93:808/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
中央8标清,http://111.225.114.93:808/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
中央9高清,http://111.225.114.93:808/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
中央10高清,http://111.225.114.93:808/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
中央11高清,http://111.225.114.93:808/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
中央12高清,http://111.225.114.93:808/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
中央13高清,http://111.225.114.93:808/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
中央14高清,http://111.225.114.93:808/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
中央15高清,http://111.225.114.93:808/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
中央16高清,http://111.225.114.93:808/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
中央17高清,http://111.225.114.93:808/tsfile/live/0017_1.m3u8?key=txiptv&playlive=1&authid=0
中央5+高清,http://111.225.114.93:808/tsfile/live/0018_1.m3u8?key=txiptv&playlive=1&authid=0
河北卫视高清,http://111.225.114.93:808/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
河北经济生活高清,http://111.225.114.93:808/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
河北都市高清,http://111.225.114.93:808/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
河北影视剧高清,http://111.225.114.93:808/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
河北少儿科教高清,http://111.225.114.93:808/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
河北公共高清,http://111.225.114.93:808/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
河北农民高清,http://111.225.114.93:808/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
河北杂技,http://111.225.114.93:808/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
保定新闻综合,http://111.225.114.93:808/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
保定公共频道,http://111.225.114.93:808/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
保定生活健康,http://111.225.114.93:808/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视高清,http://111.225.114.93:808/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视高清,http://111.225.114.93:808/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
江苏卫视高清,http://111.225.114.93:808/tsfile/live/1012_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视高清,http://111.225.114.93:808/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
东南卫视高清,http://111.225.114.93:808/tsfile/live/1014_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视高清,http://111.225.114.93:808/tsfile/live/1015_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视高清,http://111.225.114.93:808/tsfile/live/1016_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视高清,http://111.225.114.93:808/tsfile/live/1017_1.m3u8?key=txiptv&playlive=1&authid=0
山东卫视高清,http://111.225.114.93:808/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
河南卫视高清,http://111.225.114.93:808/tsfile/live/0119_1.m3u8?key=txiptv&playlive=1&authid=0
青海卫视,http://111.225.114.93:808/tsfile/live/0140_1.m3u8?key=txiptv&playlive=1&authid=0
内蒙古卫视,http://111.225.114.93:808/tsfile/live/0109_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视高清,http://111.225.114.93:808/tsfile/live/1019_1.m3u8?key=txiptv&playlive=1&authid=0
深圳卫视高清,http://111.225.114.93:808/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视高清,http://111.225.114.93:808/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
东方卫视高清,http://111.225.114.93:808/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
重庆卫视高清,http://111.225.114.93:808/tsfile/live/1023_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视高清,http://111.225.114.93:808/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
广西卫视,http://111.225.114.93:808/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&authid=0
吉林卫视高清,http://111.225.114.93:808/tsfile/live/1025_1.m3u8?key=txiptv&playlive=1&authid=0
海南卫视,http://111.225.114.93:808/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
